year,freq_desc,reference_period_desc,state_name,state_alpha,state_fips,short_desc,unit_desc,value
2015,MONTHLY,JAN,COLORADO,CO,08,"MILK - PRODUCTION, MEASURED IN LB",LB,"310,000,000"
2015,MONTHLY,JAN THRU MAR,COLORADO,CO,08,"MILK - PRODUCTION, MEASURED IN LB",LB,"914,000,000"
2015,MONTHLY,JUL,COLORADO,CO,08,"MILK - PRODUCTION, MEASURED IN LB",LB,"322,000,000"
2015,MONTHLY,JUL THRU SEP,COLORADO,CO,08,"MILK - PRODUCTION, MEASURED IN LB",LB,"954,000,000"
2015,MONTHLY,JUN,COLORADO,CO,08,"MILK - PRODUCTION, MEASURED IN LB",LB,"310,000,000"
2015,MONTHLY,MAR,COLORADO,CO,08,"MILK - PRODUCTION, MEASURED IN LB",LB,"318,000,000"
2015,MONTHLY,MAY,COLORADO,CO,08,"MILK - PRODUCTION, MEASURED IN LB",LB,"320,000,000"
2015,MONTHLY,NOV,COLORADO,CO,08,"MILK - PRODUCTION, MEASURED IN LB",LB,"307,000,000"
2015,MONTHLY,OCT,COLORADO,CO,08,"MILK - PRODUCTION, MEASURED IN LB",LB,"320,000,000"
2015,MONTHLY,OCT THRU DEC,COLORADO,CO,08,"MILK - PRODUCTION, MEASURED IN LB",LB,"944,000,000"
2015,MONTHLY,SEP,COLORADO,CO,08,"MILK - PRODUCTION, MEASURED IN LB",LB,"312,000,000"
2015,MONTHLY,APR THRU JUN,CONNECTICUT,CT,09,"MILK - PRODUCTION, MEASURED IN LB",LB,"102,000,000"
2015,MONTHLY,JAN THRU MAR,CONNECTICUT,CT,09,"MILK - PRODUCTION, MEASURED IN LB",LB,"98,000,000"
2015,MONTHLY,JUL THRU SEP,CONNECTICUT,CT,09,"MILK - PRODUCTION, MEASURED IN LB",LB,"98,000,000"
2015,MONTHLY,OCT THRU DEC,CONNECTICUT,CT,09,"MILK - PRODUCTION, MEASURED IN LB",LB,"98,000,000"
2015,MONTHLY,APR THRU JUN,DELAWARE,DE,10,"MILK - PRODUCTION, MEASURED IN LB",LB,"26,000,000"
2015,MONTHLY,JAN THRU MAR,DELAWARE,DE,10,"MILK - PRODUCTION, MEASURED IN LB",LB,"26,100,000"
2015,MONTHLY,JUL THRU SEP,DELAWARE,DE,10,"MILK - PRODUCTION, MEASURED IN LB",LB,"23,100,000"
2015,MONTHLY,OCT THRU DEC,DELAWARE,DE,10,"MILK - PRODUCTION, MEASURED IN LB",LB,"23,700,000"
2015,MONTHLY,APR,FLORIDA,FL,12,"MILK - PRODUCTION, MEASURED IN LB",LB,"237,000,000"
2015,MONTHLY,APR THRU JUN,FLORIDA,FL,12,"MILK - PRODUCTION, MEASURED IN LB",LB,"701,000,000"
2015,MONTHLY,AUG,FLORIDA,FL,12,"MILK - PRODUCTION, MEASURED IN LB",LB,"194,000,000"
2015,MONTHLY,DEC,FLORIDA,FL,12,"MILK - PRODUCTION, MEASURED IN LB",LB,"218,000,000"
2015,MONTHLY,FEB,FLORIDA,FL,12,"MILK - PRODUCTION, MEASURED IN LB",LB,"221,000,000"
2015,MONTHLY,JAN,FLORIDA,FL,12,"MILK - PRODUCTION, MEASURED IN LB",LB,"233,000,000"
2015,MONTHLY,JAN THRU MAR,FLORIDA,FL,12,"MILK - PRODUCTION, MEASURED IN LB",LB,"699,000,000"
2015,MONTHLY,JUL,FLORIDA,FL,12,"MILK - PRODUCTION, MEASURED IN LB",LB,"214,000,000"
2015,MONTHLY,JUL THRU SEP,FLORIDA,FL,12,"MILK - PRODUCTION, MEASURED IN LB",LB,"589,000,000"
2015,MONTHLY,JUN,FLORIDA,FL,12,"MILK - PRODUCTION, MEASURED IN LB",LB,"224,000,000"
2015,MONTHLY,MAR,FLORIDA,FL,12,"MILK - PRODUCTION, MEASURED IN LB",LB,"245,000,000"
2015,MONTHLY,MAY,FLORIDA,FL,12,"MILK - PRODUCTION, MEASURED IN LB",LB,"240,000,000"
2015,MONTHLY,NOV,FLORIDA,FL,12,"MILK - PRODUCTION, MEASURED IN LB",LB,"191,000,000"
2015,MONTHLY,OCT,FLORIDA,FL,12,"MILK - PRODUCTION, MEASURED IN LB",LB,"185,000,000"
2015,MONTHLY,OCT THRU DEC,FLORIDA,FL,12,"MILK - PRODUCTION, MEASURED IN LB",LB,"594,000,000"
2015,MONTHLY,SEP,FLORIDA,FL,12,"MILK - PRODUCTION, MEASURED IN LB",LB,"181,000,000"
2015,MONTHLY,APR THRU JUN,GEORGIA,GA,13,"MILK - PRODUCTION, MEASURED IN LB",LB,"469,000,000"
2015,MONTHLY,JAN THRU MAR,GEORGIA,GA,13,"MILK - PRODUCTION, MEASURED IN LB",LB,"468,000,000"
2015,MONTHLY,JUL THRU SEP,GEORGIA,GA,13,"MILK - PRODUCTION, MEASURED IN LB",LB,"419,000,000"
2015,MONTHLY,OCT THRU DEC,GEORGIA,GA,13,"MILK - PRODUCTION, MEASURED IN LB",LB,"435,000,000"
2015,MONTHLY,APR THRU JUN,HAWAII,HI,15,"MILK - PRODUCTION, MEASURED IN LB",LB,"10,000,000"
2015,MONTHLY,JAN THRU MAR,HAWAII,HI,15,"MILK - PRODUCTION, MEASURED IN LB",LB,"8,800,000"
2015,MONTHLY,JUL THRU SEP,HAWAII,HI,15,"MILK - PRODUCTION, MEASURED IN LB",LB,"8,600,000"
2015,MONTHLY,OCT THRU DEC,HAWAII,HI,15,"MILK - PRODUCTION, MEASURED IN LB",LB,"7,600,000"
2015,MONTHLY,APR,IOWA,IA,19,"MILK - PRODUCTION, MEASURED IN LB",LB,"411,000,000"
2015,MONTHLY,APR THRU JUN,IOWA,IA,19,"MILK - PRODUCTION, MEASURED IN LB",LB,"1,243,000,000"
2015,MONTHLY,AUG,IOWA,IA,19,"MILK - PRODUCTION, MEASURED IN LB",LB,"404,000,000"
2015,MONTHLY,DEC,IOWA,IA,19,"MILK - PRODUCTION, MEASURED IN LB",LB,"408,000,000"
2015,MONTHLY,FEB,IOWA,IA,19,"MILK - PRODUCTION, MEASURED IN LB",LB,"375,000,000"
2015,MONTHLY,JAN,IOWA,IA,19,"MILK - PRODUCTION, MEASURED IN LB",LB,"421,000,000"
2015,MONTHLY,JAN THRU MAR,IOWA,IA,19,"MILK - PRODUCTION, MEASURED IN LB",LB,"1,211,000,000"
2015,MONTHLY,JUL,IOWA,IA,19,"MILK - PRODUCTION, MEASURED IN LB",LB,"404,000,000"
2015,MONTHLY,JUL THRU SEP,IOWA,IA,19,"MILK - PRODUCTION, MEASURED IN LB",LB,"1,188,000,000"
2015,MONTHLY,JUN,IOWA,IA,19,"MILK - PRODUCTION, MEASURED IN LB",LB,"405,000,000"
2015,MONTHLY,MAR,IOWA,IA,19,"MILK - PRODUCTION, MEASURED IN LB",LB,"415,000,000"
2015,MONTHLY,MAY,IOWA,IA,19,"MILK - PRODUCTION, MEASURED IN LB",LB,"427,000,000"
2015,MONTHLY,NOV,IOWA,IA,19,"MILK - PRODUCTION, MEASURED IN LB",LB,"389,000,000"
2015,MONTHLY,OCT,IOWA,IA,19,"MILK - PRODUCTION, MEASURED IN LB",LB,"399,000,000"
2015,MONTHLY,OCT THRU DEC,IOWA,IA,19,"MILK - PRODUCTION, MEASURED IN LB",LB,"1,196,000,000"
2015,MONTHLY,SEP,IOWA,IA,19,"MILK - PRODUCTION, MEASURED IN LB",LB,"380,000,000"
2015,MONTHLY,APR,IDAHO,ID,16,"MILK - PRODUCTION, MEASURED IN LB",LB,"1,173,000,000"
2015,MONTHLY,APR THRU JUN,IDAHO,ID,16,"MILK - PRODUCTION, MEASURED IN LB",LB,"3,602,000,000"
2015,MONTHLY,AUG,IDAHO,ID,16,"MILK - PRODUCTION, MEASURED IN LB",LB,"1,225,000,000"
2015,MONTHLY,DEC,IDAHO,ID,16,"MILK - PRODUCTION, MEASURED IN LB",LB,"1,165,000,000"
2015,MONTHLY,FEB,IDAHO,ID,16,"MILK - PRODUCTION, MEASURED IN LB",LB,"1,052,000,000"
2015,MONTHLY,JAN,IDAHO,ID,16,"MILK - PRODUCTION, MEASURED IN LB",LB,"1,154,000,000"
2015,MONTHLY,JAN THRU MAR,IDAHO,ID,16,"MILK - PRODUCTION, MEASURED IN LB",LB,"3,392,000,000"
2015,MONTHLY,JUL,IDAHO,ID,16,"MILK - PRODUCTION, MEASURED IN LB",LB,"1,228,000,000"
2015,MONTHLY,JUL THRU SEP,IDAHO,ID,16,"MILK - PRODUCTION, MEASURED IN LB",LB,"3,624,000,000"
2015,MONTHLY,JUN,IDAHO,ID,16,"MILK - PRODUCTION, MEASURED IN LB",LB,"1,195,000,000"
2015,MONTHLY,MAR,IDAHO,ID,16,"MILK - PRODUCTION, MEASURED IN LB",LB,"1,186,000,000"
2015,MONTHLY,MAY,IDAHO,ID,16,"MILK - PRODUCTION, MEASURED IN LB",LB,"1,234,000,000"
2015,MONTHLY,NOV,IDAHO,ID,16,"MILK - PRODUCTION, MEASURED IN LB",LB,"1,136,000,000"
2015,MONTHLY,OCT,IDAHO,ID,16,"MILK - PRODUCTION, MEASURED IN LB",LB,"1,195,000,000"
2015,MONTHLY,OCT THRU DEC,IDAHO,ID,16,"MILK - PRODUCTION, MEASURED IN LB",LB,"3,496,000,000"
2015,MONTHLY,SEP,IDAHO,ID,16,"MILK - PRODUCTION, MEASURED IN LB",LB,"1,171,000,000"
2015,MONTHLY,APR,ILLINOIS,IL,17,"MILK - PRODUCTION, MEASURED IN LB",LB,"167,000,000"
2015,MONTHLY,APR THRU JUN,ILLINOIS,IL,17,"MILK - PRODUCTION, MEASURED IN LB",LB,"498,000,000"
2015,MONTHLY,AUG,ILLINOIS,IL,17,"MILK - PRODUCTION, MEASURED IN LB",LB,"150,000,000"
2015,MONTHLY,DEC,ILLINOIS,IL,17,"MILK - PRODUCTION, MEASURED IN LB",LB,"164,000,000"
2015,MONTHLY,FEB,ILLINOIS,IL,17,"MILK - PRODUCTION, MEASURED IN LB",LB,"151,000,000"
2015,MONTHLY,JAN,ILLINOIS,IL,17,"MILK - PRODUCTION, MEASURED IN LB",LB,"164,000,000"
2015,MONTHLY,JAN THRU MAR,ILLINOIS,IL,17,"MILK - PRODUCTION, MEASURED IN LB",LB,"483,000,000"
2015,MONTHLY,JUL,ILLINOIS,IL,17,"MILK - PRODUCTION, MEASURED IN LB",LB,"155,000,000"
2015,MONTHLY,JUL THRU SEP,ILLINOIS,IL,17,"MILK - PRODUCTION, MEASURED IN LB",LB,"448,000,000"
2015,MONTHLY,JUN,ILLINOIS,IL,17,"MILK - PRODUCTION, MEASURED IN LB",LB,"159,000,000"
2015,MONTHLY,MAR,ILLINOIS,IL,17,"MILK - PRODUCTION, MEASURED IN LB",LB,"168,000,000"
2015,MONTHLY,MAY,ILLINOIS,IL,17,"MILK - PRODUCTION, MEASURED IN LB",LB,"172,000,000"
2015,MONTHLY,NOV,ILLINOIS,IL,17,"MILK - PRODUCTION, MEASURED IN LB",LB,"150,000,000"
2015,MONTHLY,OCT,ILLINOIS,IL,17,"MILK - PRODUCTION, MEASURED IN LB",LB,"151,000,000"
2015,MONTHLY,OCT THRU DEC,ILLINOIS,IL,17,"MILK - PRODUCTION, MEASURED IN LB",LB,"465,000,000"
2015,MONTHLY,SEP,ILLINOIS,IL,17,"MILK - PRODUCTION, MEASURED IN LB",LB,"143,000,000"
2015,MONTHLY,APR,INDIANA,IN,18,"MILK - PRODUCTION, MEASURED IN LB",LB,"334,000,000"
2015,MONTHLY,APR THRU JUN,INDIANA,IN,18,"MILK - PRODUCTION, MEASURED IN LB",LB,"1,010,000,000"
2015,MONTHLY,AUG,INDIANA,IN,18,"MILK - PRODUCTION, MEASURED IN LB",LB,"332,000,000"
2015,MONTHLY,DEC,INDIANA,IN,18,"MILK - PRODUCTION, MEASURED IN LB",LB,"338,000,000"
2015,MONTHLY,FEB,INDIANA,IN,18,"MILK - PRODUCTION, MEASURED IN LB",LB,"304,000,000"
2015,MONTHLY,JAN,INDIANA,IN,18,"MILK - PRODUCTION, MEASURED IN LB",LB,"336,000,000"
2015,MONTHLY,JAN THRU MAR,INDIANA,IN,18,"MILK - PRODUCTION, MEASURED IN LB",LB,"978,000,000"
2015,MONTHLY,JUL,INDIANA,IN,18,"MILK - PRODUCTION, MEASURED IN LB",LB,"333,000,000"
2015,MONTHLY,JUL THRU SEP,INDIANA,IN,18,"MILK - PRODUCTION, MEASURED IN LB",LB,"984,000,000"
2015,MONTHLY,JUN,INDIANA,IN,18,"MILK - PRODUCTION, MEASURED IN LB",LB,"327,000,000"
2015,MONTHLY,MAR,INDIANA,IN,18,"MILK - PRODUCTION, MEASURED IN LB",LB,"338,000,000"
2015,MONTHLY,MAY,INDIANA,IN,18,"MILK - PRODUCTION, MEASURED IN LB",LB,"349,000,000"
2015,MONTHLY,NOV,INDIANA,IN,18,"MILK - PRODUCTION, MEASURED IN LB",LB,"326,000,000"
2015,MONTHLY,OCT,INDIANA,IN,18,"MILK - PRODUCTION, MEASURED IN LB",LB,"329,000,000"
2015,MONTHLY,OCT THRU DEC,INDIANA,IN,18,"MILK - PRODUCTION, MEASURED IN LB",LB,"993,000,000"
2015,MONTHLY,SEP,INDIANA,IN,18,"MILK - PRODUCTION, MEASURED IN LB",LB,"319,000,000"
2015,MONTHLY,APR,KANSAS,KS,20,"MILK - PRODUCTION, MEASURED IN LB",LB,"280,000,000"
2015,MONTHLY,APR THRU JUN,KANSAS,KS,20,"MILK - PRODUCTION, MEASURED IN LB",LB,"822,000,000"
2015,MONTHLY,AUG,KANSAS,KS,20,"MILK - PRODUCTION, MEASURED IN LB",LB,"263,000,000"
2015,MONTHLY,DEC,KANSAS,KS,20,"MILK - PRODUCTION, MEASURED IN LB",LB,"260,000,000"
2015,MONTHLY,FEB,KANSAS,KS,20,"MILK - PRODUCTION, MEASURED IN LB",LB,"249,000,000"
2015,MONTHLY,JAN,KANSAS,KS,20,"MILK - PRODUCTION, MEASURED IN LB",LB,"270,000,000"
2015,MONTHLY,JAN THRU MAR,KANSAS,KS,20,"MILK - PRODUCTION, MEASURED IN LB",LB,"803,000,000"
2015,MONTHLY,JUL,KANSAS,KS,20,"MILK - PRODUCTION, MEASURED IN LB",LB,"264,000,000"
2015,MONTHLY,JUL THRU SEP,KANSAS,KS,20,"MILK - PRODUCTION, MEASURED IN LB",LB,"779,000,000"
2015,MONTHLY,JUN,KANSAS,KS,20,"MILK - PRODUCTION, MEASURED IN LB",LB,"259,000,000"
2015,MONTHLY,MAR,KANSAS,KS,20,"MILK - PRODUCTION, MEASURED IN LB",LB,"284,000,000"
